threshold,W,total_columns,coverage,MAE,Bias,Std,CI95_lower,CI95_upper,MaxAbsError
0.05,53621,53760,0.9974144345238095,1166.034893045635,1166.034893045635,213.66172730147193,1164.226398617926,1167.8433874733441,1704.0
0.1,53621,53760,0.9974144345238095,776.5516308908823,776.5516308908823,211.31038926193693,774.763038865891,778.3402229158736,1509.0
0.15,53621,53760,0.9974144345238095,601.6983271479457,601.6983271479457,205.64893686085995,599.9576552874565,603.438999008435,1226.0
0.2,53621,53760,0.9974144345238095,534.4683612763656,534.4683612763656,213.27370404722913,532.6631511892914,536.2735713634398,1035.0
0.25,53621,53760,0.9974144345238095,409.48311295947485,409.48311295947485,189.8841375055261,407.8758789034449,411.0903470155048,1014.0
0.3,53621,53760,0.9974144345238095,80.27045374013912,79.09237052647283,129.62876911524936,77.99515527142181,80.18958578152386,777.0
0.35,53621,53760,0.9974144345238095,8.449320229014752,5.866526174446578,17.283579303389768,5.720232978862014,6.012819370031143,607.0
0.4,53621,53760,0.9974144345238095,7.7425635478637105,4.582607560470711,15.154607506623204,4.454334595649187,4.710880525292235,159.0
0.45,53621,53760,0.9974144345238095,7.355868036776636,3.563883553085545,14.858413220570137,3.438117662051225,3.689649444119865,151.0
0.5,53621,53760,0.9974144345238095,7.080155163089088,2.6126144607523174,14.677834117803503,2.4883770432786996,2.7368518782259352,146.0
0.55,53621,53760,0.9974144345238095,6.925980492717406,1.7641968631692806,14.592532634012139,1.6406814620345753,1.8877122643039859,143.0
0.6,53621,53760,0.9974144345238095,6.841647861845173,0.8438857910147144,14.566063326093966,0.7205944337295087,0.9671771482999201,139.0
0.65,53621,53760,0.9974144345238095,6.85431081106283,-0.09900971634247777,14.611195881385655,-0.22268308858087216,0.02466365589591664,132.0
0.7,53621,53760,0.9974144345238095,6.956752018798605,-1.0254564443035379,14.728491580229738,-1.1501226411363645,-0.9007902474707112,128.0
0.75,53621,53760,0.9974144345238095,7.2056283918613975,-2.160142481490461,14.94956824658353,-2.286679934931792,-2.03360502804913,124.0
0.8,53621,53760,0.9974144345238095,7.663378154081423,-3.500531508177766,15.31186142308266,-3.630135515461804,-3.3709275008937283,125.0
0.85,53621,53760,0.9974144345238095,8.476567016653924,-5.231084836164936,15.879443492167638,-5.365493021633677,-5.096676650696194,125.0
0.9,53621,53760,0.9974144345238095,9.921187594412636,-7.594338039201059,16.811150209701815,-7.7366324588035456,-7.452043619598572,128.0
0.95,53621,53760,0.9974144345238095,12.662576229462337,-11.218403237537531,18.500440673242423,-11.374996298401982,-11.061810176673081,148.0
